date,user,location,text
2021-03-02 11:37:18,jimimpeach,,"@jtoni_n RACISM IS NOT AN OPINION

#NOtoRacism
#NEINzuRassismus
#Matuschik_OUT
#DeutscheMEDIEN_Rassismus
#GermanMEDIA_racism"
2021-03-02 11:36:45,Shafaye24614331,,CIE's decision to carry out exams in developing countries while cancelling in the UK shows a vivid reflection of th… https://t.co/ExKdpvPJq5
2021-03-02 11:33:11,nthabii_masoga,,I don't usually celebrate such things Kodwa yeey nkulunkulu usebenza overtime yazz😍❤️🥳🥳🥳 #Notoracism #LoveIslandSA https://t.co/MSwLvnp82s
2021-03-02 11:21:40,beartaetae__,gedung bighit ,"@armysanctuary Dont stop army! 

#NOtoRacism 
#MatuschikOUT 
#Bayern3_racism 
#GermanMEDIA_racism"
2021-03-02 11:20:15,ANCLimpopo,Limpopo . South Africa,Provincial Secretary Soviet Lekganyane handing over the ANC's memorandum to the SAHRC Limpopo. The ANC picketed tod… https://t.co/c7SGsBTvJQ
2021-03-02 11:15:18,Alekcandra9,I love you,"@jtoni_n RACISM IS NOT AN OPINION

#NOtoRacism
#NEINzuRassismus
#Matuschik_OUT
#DeutscheMEDIEN_Rassismus
#GermanMEDIA_racism"
2021-03-02 11:11:27,8T54Lily,,"If you open yourself up to hearing, listening, understanding, introspection and change, i promise you its so much m… https://t.co/39LhUkdZBE"
2021-03-02 11:10:00,Arnold_1230,,"@thanh01112002 RACISM IS NOT AN OPINION
#NOtoRacism
#NEINzuRassismus
#Matuschik_OUT
#DeutscheMEDIEN_Rassismus
#GermanMEDIA_racism"
2021-03-02 11:03:21,princecloete,Johannesburg,"If @eNCA had the guts to stand up to the blatant racism of one of its own and apologised instead of defending her,… https://t.co/DkKgsPjxjr"
2021-03-02 10:58:41,Roro_7181,Syria,"RACISM IS NOT AN OPINION!!!
I didn't see any Apologize.. where is it?!

#Matuschik_OUT 
#NOtoRacism #NOSilence… https://t.co/6uTTp6FpVN"
2021-03-02 10:58:17,AncNcape,"Kimberley, South Africa","ANC Regional Secretary Comrade Peace Leserwane, today leads a picket outside JTG magistrate court against the scour… https://t.co/z11PhrAtR4"
2021-03-02 10:52:13,risayukino,Sweden,"No silence for the racist!

#Matuschik_OUT
#NOtoRacism #GermanMEDIA_racism #RecismIsNotAnOpinion 
#SayNOtoRacism… https://t.co/uQ8sOaO5H1"
2021-03-02 10:51:19,kthjjkya,,"@ryuminating Done.
RACISM IS NOT AN OPINION
#NOtoRacism
#NEINzuRassismus
#Matuschik_OUT
#DeutscheMEDIEN_Rassismus
#GermanMEDIA_racism"
2021-03-02 10:47:15,jeonkookized,,"@jtoni_n RACISM IS NOT AN OPINION

#NOtoRacism
#NEINzuRassismus
#Matuschik_OUT
#DeutscheMEDIEN_Rassismus
#GermanMEDIA_racism"
2021-03-02 10:46:27,HunhNgcnhLin1,,"@2Hanjimin7 RACISM IS NOT AN OPINION
#NOtoRacism
#NEINzuRassismus
#Matuschik_OUT
#DeutscheMEDIEN_Rassismus
#GermanMEDIA_racism"
2021-03-02 10:46:20,wintertk_,she/her ♡,"@jtoni_n RACISM IS NOT AN OPINION

#NOtoRacism
#NEINzuRassismus
#Matuschik_OUT
#DeutscheMEDIEN_Rassismus
#GermanMEDIA_racism"
2021-03-02 10:38:21,st_tbe,,"Before claiming how non racist u are @bayern3 &amp; host, better first educate urself, get rid of ur fragile ego &amp; look… https://t.co/eTkzPMxqgr"
2021-03-02 10:37:35,BTSRadioUK,United Kingdom,"'Strength &amp; Resilience' are on the minds of the Playlist Team this week 👊

Courage in the face of adversity as we c… https://t.co/xqFYceSqmg"
2021-03-02 10:35:45,Libieolforever,,"@Taehyung040302 RACISM IS NOT AN OPINION
#NOtoRacism
#NEINzuRassismus
#Matuschik_OUT
#DeutscheMEDIEN_Rassismus
#GermanMEDIA_racism"
2021-03-02 10:35:24,Libieolforever,,"@MINMINARMY2010 RACISM IS NOT AN OPINION
#NOtoRacism
#NEINzuRassismus
#Matuschik_OUT
#DeutscheMEDIEN_Rassismus
#GermanMEDIA_racism"
2021-03-02 10:34:13,ewnreporter,South Africa,#NoToRacism Duarte says some journalists treat black people if they are “stupid and corrupt” without any facts.
2021-03-02 10:33:05,Elsa702,Johannesburg,"@MYANC We know racism is real in this country...... I just wished ANC showed as much vigor for corruption, unemploy… https://t.co/lFJqvKUn9V"
2021-03-02 10:32:56,ewnreporter,South Africa,#NoToRacism Duarte says the media holds politicians to a high standard and this must be the same for journalists.
2021-03-02 10:31:46,ewnreporter,South Africa,#NoToRacism The ANC wants eNCA to “issue a commitment that it will not tolerate racism” and they will do something… https://t.co/RomtF2hWIV
2021-03-02 10:29:33,bangtantys,BTS_twt♡,"RACISM NOT AN OPINION

#StopAsianHate 
#AsiansAreHuman 
#NOtoracistMedia 
#Bayern3_racism 
#NoToRacism… https://t.co/CcHmsHgaZy"
2021-03-02 10:29:19,withdreamwork,she/her,"This: 
""Matthias Matuschik's comments should be called out for what they are: Racist and xenophobic""

#NOtoRacism… https://t.co/FpoGAWzjRe"
2021-03-02 10:28:43,Minnie_134340,She/Her,PLEASE SHARE MOOTSIES 💓i don‘t have a wide reach so please share this to get some more German ARMYs to sign the pet… https://t.co/5r9IGOWgKc
2021-03-02 10:20:14,tatavherr,ph—🕊️ ♡,"DROP THE TAGS AND RETWEET ‼️

RACISM IS NOT AN OPINION
#Matuschik_OUT
#NOtoRacism
#NEINzuRassismus"
2021-03-02 10:19:36,jjeonvvx,,"@boochenjukii @sxxkjinvv Racism is not an opinion

#NOtoRacism 
#MatuschikOUT 
#Bayern3_racism 
#GermanMEDIA_racism"
2021-03-02 10:18:31,KIWI1306_twt,Trái Đất ,"@Aerikwin_twt RACISM IS NOT AN OPINION
#NOtoRacism
#NEINzuRassismus
#Matuschik_OUT
#DeutscheMEDIEN_Rassismus
#GermanMEDIA_racism"
2021-03-02 10:17:52,KIWI1306_twt,Trái Đất ,"@Aerikwin_twt RACISM IS NOT AN OPINION
#NOtoRacism
#NEINzuRassismus
#Matuschik_OUT
#DeutscheMEDIEN_Rassismus
#GermanMEDIA_racism"
2021-03-02 10:14:34,PrAmbrose,,@sexy_robotnik @TrashJunky @nice_learning @tuputamadrehaha @make_it_snow @sansculottestoo @sweetbillyv @TheClickPit… https://t.co/09hv75y2VK
2021-03-02 10:11:25,MYANC,South Africa,"@MYANC memorandum of demands to ENCA.

#BlackLivesMatter   #NoToRacism #ANCsaysNoToRacism https://t.co/xUqSL1YOGn"
2021-03-02 10:11:17,bbymochiiee,,"@boochenjukii Racism is not an opinion

#NOtoRacism 
#MatuschikOUT 
#Bayern3_racism 
#GermanMEDIA_racism"
2021-03-02 10:10:31,GillAmbrose3,,@sexy_robotnik @TrashJunky @nice_learning @tuputamadrehaha @make_it_snow @sansculottestoo @sweetbillyv @TheClickPit… https://t.co/hqqx3rPsEL
2021-03-02 10:04:51,snoopy_kookie,,"@ryuminating @ilysmjekey Done

RACISM IS NOT AN OPINION!!

#NOtoRacism
#NEINzuRassismus
#Matuschik_OUT… https://t.co/9LlGQxTrtd"
2021-03-02 10:03:42,taenycillin,mikrokosmos,"@armysanctuary we wont stop

#NOtoRacism 
#MatuschikOUT 
#Bayern3_racism 
#GermanMEDIA_racism"
