personLabel,twitterUsername,dateOfDeath,countryLabel,dateOfBirth
Manuel Pereira da Silva,pereiradasilva,2003-01-01T00:00:00Z,Portugal,1920-12-07T00:00:00Z
Satoshi Kon,konsatoshi,2010-08-24T00:00:00Z,Japan,1963-10-12T00:00:00Z
Gershon Kingsley,HerrPopcorn,2019-12-10T00:00:00Z,United States of America,1922-10-28T00:00:00Z
Ayub Bachchu,ablrb,2018-10-18T00:00:00Z,Bangladesh,1962-08-16T00:00:00Z
Kazuo Koike,koikekazuo,2019-04-17T00:00:00Z,Japan,1936-05-08T00:00:00Z
Ricky Harris,iamrickyharris,2016-12-26T00:00:00Z,United States of America,1962-10-05T00:00:00Z
Mogens Camre,MCamre,2016-12-05T00:00:00Z,Denmark,1936-03-29T00:00:00Z
Emmanuel Lamy,emmanuellamy,2017-05-24T00:00:00Z,France,1948-05-11T00:00:00Z
Ricky Harris,iamrickyharris,2016-12-26T00:00:00Z,United States of America,1962-01-26T00:00:00Z
Ricky Harris,iamrickyharris,2016-12-26T00:00:00Z,United States of America,1962-01-01T00:00:00Z
Lorena Rojas,lorenarojas,2015-02-16T00:00:00Z,Mexico,1971-02-10T00:00:00Z
Nichole Van Croft,nicholevancroft,2018-04-20T00:00:00Z,United States of America,1973-11-05T00:00:00Z
Virgil Howe,virgilhowe,2017-09-11T00:00:00Z,United Kingdom,1975-09-23T00:00:00Z
Jung Mi-hong,Naya2816,2018-07-25T00:00:00Z,South Korea,1958-07-27T00:00:00Z
Joe Bodolai,joebodolai,2011-12-26T00:00:00Z,United States of America,1948-05-11T00:00:00Z
Dick Enberg,Deohmy,2017-12-21T00:00:00Z,United States of America,1935-01-09T00:00:00Z
Tomas Alvira,TomasyPaquita,1992-05-07T00:00:00Z,Spain,1906-01-17T00:00:00Z
Gustavo Quintero,ElLokoQuintero,2016-12-18T00:00:00Z,Colombia,1939-12-23T00:00:00Z
Bruce Lee,brucelee,1973-07-20T00:00:00Z,United States of America,1940-11-27T00:00:00Z
