personLabel,twitterUsername,dateOfDeath,countryLabel,dateOfBirth
Ian Bell,IanBell1916,2015-12-11T00:00:00Z,United Kingdom,1956-01-07T00:00:00Z
Matvey Tkachenko,chevrcam,2019-06-10T00:00:00Z,Russia,2001-04-10T00:00:00Z
Vladimír Plaček,SenatorPlacek,2018-08-02T00:00:00Z,Czech Republic,1965-05-29T00:00:00Z
Elie Wiesel,eliewiesel,2016-07-02T00:00:00Z,France,1928-09-30T00:00:00Z
Ashley Massaro,ashleymassaro11,2019-05-16T00:00:00Z,United States of America,1979-05-26T00:00:00Z
John Wayne,JohnDukeWayne,1979-06-11T00:00:00Z,United States of America,1907-05-26T00:00:00Z
Luke Letlow,LukeLetlow,2020-12-29T00:00:00Z,United States of America,1979-12-06T00:00:00Z
Valeriya Novodvorskaya,Vnovodvorskaia,2014-07-12T00:00:00Z,Russia,1950-05-17T00:00:00Z
Keigo Takeda,KeigoTakeda,2016-01-10T00:00:00Z,Japan,1964-12-30T00:00:00Z
Naya Rivera,NayaRivera,2020-07-08T00:00:00Z,United States of America,1987-01-12T00:00:00Z
Terry Jones,PythonJones,2020-01-21T00:00:00Z,United Kingdom,1942-02-01T00:00:00Z
Arnulfo Arias,arnulfoariasm,1988-08-10T00:00:00Z,Panama,1901-08-15T00:00:00Z
Melissa Ede,melissaede,2019-05-11T00:00:00Z,United Kingdom,1960-09-25T00:00:00Z
Gerardo Privat,GerardoPrivat,2018-02-18T00:00:00Z,Peru,1979-06-16T00:00:00Z
Jean-Yves Moyart,JYMoyart,2021-02-20T00:00:00Z,France,1967-10-21T00:00:00Z
Chesney Crosby,chezibear,2020-03-02T00:00:00Z,South Africa,1992-03-02T00:00:00Z
Jean-Yves Moyart,MaitreMo,2021-02-20T00:00:00Z,France,1967-10-21T00:00:00Z
Abdulkadir Yüksel,akadiryuksel27,2017-09-25T00:00:00Z,Turkey,1962-07-03T00:00:00Z
Valeriya Novodvorskaya,Vnovodvorskaia,2014-07-12T00:00:00Z,Soviet Union,1950-05-17T00:00:00Z
Akihiro Sawa,sawaakihiro,2016-01-16T00:00:00Z,Japan,1957-01-01T00:00:00Z
Lynn Anderson,LynnAshow,2015-07-30T00:00:00Z,United States of America,1947-09-26T00:00:00Z
August Ames,AugustAmesxxx,2017-12-05T00:00:00Z,Canada,1994-08-23T00:00:00Z
Erik Meijs,MeijsErik,2017-11-16T00:00:00Z,Kingdom of the Netherlands,1991-04-20T00:00:00Z
Black N Mild,blacknmild0,2020-03-19T00:00:00Z,United States of America,1975-01-01T00:00:00Z
Tasuku Shindō,4235plus9,2017-10-04T00:00:00Z,Japan,1983-09-11T00:00:00Z
Ray,viva_Ray,2018-08-30T00:00:00Z,People's Republic of China,1982-02-14T00:00:00Z
Abdulkadir Yüksel,yukselmuslum27,2017-09-25T00:00:00Z,Turkey,1962-07-03T00:00:00Z
Sam Johnson,SamsPressShop,2020-05-27T00:00:00Z,United States of America,1930-10-11T00:00:00Z
Merle Haggard,merlehaggard,2016-04-06T00:00:00Z,United States of America,1937-04-06T00:00:00Z
Charlie Daniels,CharlieDaniels,2020-07-06T00:00:00Z,United States of America,1936-10-28T00:00:00Z
Lyra McKee,LyraMcKee,2019-04-18T00:00:00Z,United Kingdom,1990-03-31T00:00:00Z
Neal E. Boyd,nealeboyd,2018-06-10T00:00:00Z,United States of America,1975-11-18T00:00:00Z
Brandon Lee,brandonblee,1993-03-31T00:00:00Z,United States of America,1965-02-01T00:00:00Z
Josep Cervera i Bret,JcerveraB,1969-09-05T00:00:00Z,Spain,1883-09-01T00:00:00Z
Åke Ortmark,akeortmark,2018-10-18T00:00:00Z,Sweden,1929-05-14T00:00:00Z
Brandon Lee,brandonblee,1993-03-31T00:00:00Z,Hong Kong,1965-02-01T00:00:00Z
Coralie Delaume,CoralieDelaume,2020-12-15T00:00:00Z,France,1976-08-26T00:00:00Z
John Conyers,RepJohnConyers,2019-10-27T00:00:00Z,United States of America,1929-05-16T00:00:00Z
Greg Montgomery,ZenPunter,2020-08-23T00:00:00Z,United States of America,1964-10-29T00:00:00Z
"David Butler, 10th Earl of Carrick",SirDavidButler,2008-01-08T00:00:00Z,United Kingdom,1953-01-09T00:00:00Z
Bob Andelman,andelman,2020-02-24T00:00:00Z,United Kingdom,1960-10-09T00:00:00Z
Steffan Lewis,SteffanLewis,2019-01-11T00:00:00Z,United Kingdom,1984-05-30T00:00:00Z
Ingo Kantorek,ingokantorek,2019-08-16T00:00:00Z,Germany,1974-09-15T00:00:00Z
Horacio Serpa,HoracioSerpa,2020-10-31T00:00:00Z,Colombia,1943-01-03T00:00:00Z
Pastor Lópezcdfsg,pastorlopezofic,2019-04-05T00:00:00Z,Venezuela,1944-06-15T00:00:00Z
Deep,deep_cold,2014-03-05T00:00:00Z,United States of America,1901-01-01T00:00:00Z
Adam West,therealadamwest,2017-06-09T00:00:00Z,United States of America,1928-09-19T00:00:00Z
Peter Salama,petesalama,2020-01-23T00:00:00Z,Australia,1968-01-01T00:00:00Z
Tim Conway,realtimconway,2019-05-14T00:00:00Z,United States of America,1933-12-15T00:00:00Z
Victorino Chermont,vituchermont,2016-11-28T00:00:00Z,Brazil,1973-04-24T00:00:00Z
Shammi Kapoor,shamsheraj,2011-08-14T00:00:00Z,India,1931-10-21T00:00:00Z
Georgina Anderson,georgiinax,2013-11-14T00:00:00Z,United Kingdom,1998-10-22T00:00:00Z
Big Syke,BigSykeMusic,2016-12-05T00:00:00Z,United States of America,1968-03-31T00:00:00Z
Pastor Lópezcdfsg,pastorlopezofic,2019-04-05T00:00:00Z,Colombia,1944-06-15T00:00:00Z
Shammi Kapoor,shamsheraj,2011-08-14T00:00:00Z,Dominion of India,1931-10-21T00:00:00Z
Henri Weber,weber_henri,2020-04-26T00:00:00Z,France,1944-06-23T00:00:00Z
Godfrey Gao,godfreygao,2019-11-27T00:00:00Z,Taiwan,1984-09-22T00:00:00Z
Mr. Pogo,mrpogosama,2017-06-23T00:00:00Z,Japan,1951-05-02T00:00:00Z
Mr. Pogo,mrpogosama,2017-06-23T00:00:00Z,Japan,1951-02-05T00:00:00Z
Keiichi Hanada,keiichi_hanada,2017-05-11T00:00:00Z,Japan,1963-11-06T00:00:00Z
Ciro Pessoa,ciropessoa,2020-05-05T00:00:00Z,Brazil,1957-06-12T00:00:00Z
Vlatko Ilievski,vlatko_ilievski,2018-07-06T00:00:00Z,North Macedonia,1985-07-02T00:00:00Z
Claudio López Lamadrid,claudiothelopez,2019-01-11T00:00:00Z,Spain,1960-01-07T00:00:00Z
Andriy Kuzmenko,kuzmaskryabin,2015-02-02T00:00:00Z,Ukraine,1968-08-17T00:00:00Z
Vladimir Nikitin,VladimirNikiti2,2015-03-28T00:00:00Z,Russia,1944-02-18T00:00:00Z
Enzo Boschi,enzo_boschi,2018-12-21T00:00:00Z,Italy,1942-02-27T00:00:00Z
Enzo Boschi,enzo_boschi,2018-12-21T00:00:00Z,Kingdom of Italy,1942-02-27T00:00:00Z
Jun'ichi Gotō,gotoh_junichi,2020-02-24T00:00:00Z,Japan,1979-10-04T00:00:00Z
Muriel Casals,murielcasals,2016-02-14T00:00:00Z,Spain,1945-04-06T00:00:00Z
Ahmed Brahim,AhmedBrahim_TN,2016-04-14T00:00:00Z,Tunisia,1946-06-14T00:00:00Z
Enzo Boschi,enzo_boschi,2018-12-22T00:00:00Z,Italy,1942-02-27T00:00:00Z
Enzo Boschi,enzo_boschi,2018-12-22T00:00:00Z,Kingdom of Italy,1942-02-27T00:00:00Z
Canserbero,ELCANSERBERO,2015-01-20T00:00:00Z,Venezuela,1988-03-11T00:00:00Z
Henri Emmanuelli,henriemmanuelli,2017-03-21T00:00:00Z,France,1945-05-31T00:00:00Z
Anton Buslov,astroaist,2014-08-20T00:00:00Z,Russia,1983-11-04T00:00:00Z
Charles Bradley,charles_bradley,2017-09-23T00:00:00Z,United States of America,1948-11-05T00:00:00Z
Bobby Womack,realbobbywomack,2014-06-27T00:00:00Z,United States of America,1944-03-04T00:00:00Z
Vasily Bochkaryov,BochkarevVK,2016-06-22T00:00:00Z,Russia,1949-04-29T00:00:00Z
Şule Yüksel Şenler,syukselsenler,2019-08-28T00:00:00Z,Turkey,1938-05-29T00:00:00Z
Michael Gordon,mgordon_fairfax,2018-02-03T00:00:00Z,Australia,1955-08-14T00:00:00Z
Andrew Patner,andrewpatner,2015-02-03T00:00:00Z,United States of America,1959-12-17T00:00:00Z
Yoshihiro Kuroiwa,kuroiwa_yoshi,2018-05-08T00:00:00Z,Japan,1962-09-09T00:00:00Z
Vyacheslav Veremy,Veryslav,2014-02-19T00:00:00Z,Soviet Union,1980-02-22T00:00:00Z
Jorge Fernando,JORGEFERNANDOOF,2019-10-27T00:00:00Z,Brazil,1960-03-29T00:00:00Z
Muriel Casals,murielcasals,2016-02-14T00:00:00Z,France,1945-04-06T00:00:00Z
Héctor Enrique Olivares,OlivaresHctor,2019-05-12T00:00:00Z,Argentina,1958-02-18T00:00:00Z
Konami Sonoda,konami_sonoda,2019-08-04T00:00:00Z,Japan,1977-05-03T00:00:00Z
DJ AM,dj_am,2009-08-28T00:00:00Z,United States of America,1973-03-30T00:00:00Z
Vladimir Nikitin,VladimirNikiti2,2015-03-28T00:00:00Z,Soviet Union,1944-02-18T00:00:00Z
Jorge Fernando,JORGEFERNANDOOF,2019-10-27T00:00:00Z,Brazil,1955-03-29T00:00:00Z
Vecheslav Lobankov,vslobankov,2013-11-26T00:00:00Z,Russia,1959-10-31T00:00:00Z
Patrick Dusoulier,PatrickDusoulie,2018-03-26T00:00:00Z,France,1946-10-06T00:00:00Z
Godfrey Gao,godfreygao,2019-11-27T00:00:00Z,Canada,1984-09-22T00:00:00Z
Jimmy Schulz,jimmyschulz,2019-11-25T00:00:00Z,Germany,1968-10-22T00:00:00Z
Shammi Kapoor,shamsheraj,2011-08-14T00:00:00Z,British India,1931-10-21T00:00:00Z
Jonathan Miller,millerC4,2019-11-27T00:00:00Z,United Kingdom,1934-07-21T00:00:00Z
Vecheslav Lobankov,vslobankov,2013-11-26T00:00:00Z,Soviet Union,1959-10-31T00:00:00Z
Mike Mohede,michaelmohede,2016-07-31T00:00:00Z,Indonesia,1983-11-07T00:00:00Z
Alec Holowka,infinite_ammo,2019-08-31T00:00:00Z,Canada,1983-10-30T00:00:00Z
Hernán Letelier,Letelier1920,2020-01-10T00:00:00Z,Chile,1920-12-20T00:00:00Z
Sebastian Rahtz,rahtz,2016-03-15T00:00:00Z,United Kingdom,1955-02-13T00:00:00Z
Oscar Taveras,el_fenomeno_18,2014-10-26T00:00:00Z,Dominican Republic,1992-06-19T00:00:00Z
Toshiharu Ikeda,bashou2020,2010-12-26T00:00:00Z,Japan,1951-02-23T00:00:00Z
Guy Clark,GuyClarkKCA,2016-05-17T00:00:00Z,United States of America,1941-11-06T00:00:00Z
Darren Daulton,darrendaulton,2017-08-06T00:00:00Z,United States of America,1962-01-03T00:00:00Z
Guy Bedos,Guy_Bedos,2020-05-28T00:00:00Z,France,1934-06-15T00:00:00Z
Daniel Menaker,danielmenaker,2020-10-26T00:00:00Z,United States of America,1941-09-17T00:00:00Z
Claudia Fahlke,ClaudiaFahlke,2020-01-01T00:00:00Z,Sweden,1964-01-01T00:00:00Z
Ingrid Beazley,IngridAMB,2017-04-21T00:00:00Z,United Kingdom,2000-01-01T00:00:00Z
Jean-Marc du Bugey,Jmdubugey,2015-06-27T00:00:00Z,France,1945-03-16T00:00:00Z
Hal Finney,halfin,2014-08-28T00:00:00Z,United States of America,1956-05-04T00:00:00Z
Tetsufumi Takimoto,ttakimoto,2019-08-10T00:00:00Z,Japan,1975-01-01T00:00:00Z
Mags Portman,magsportman,2019-02-06T00:00:00Z,United Kingdom,1974-05-27T00:00:00Z
Mami Amamiya,mamiamamiya,2016-11-15T00:00:00Z,Japan,1976-09-26T00:00:00Z
Carme Barba i Corominas,carmebarba,2014-09-17T00:00:00Z,Spain,1946-01-01T00:00:00Z
Jean Soler,SolerJean2,2019-06-16T00:00:00Z,France,1933-01-14T00:00:00Z
José José,josejoseoficial,2019-09-28T00:00:00Z,Mexico,1948-02-17T00:00:00Z
Bankroll Fresh,1YUNGFRESH,2016-03-04T00:00:00Z,United States of America,1987-08-02T00:00:00Z
Tenor Fly,tenorfly,2016-06-17T00:00:00Z,United Kingdom,1967-07-07T00:00:00Z
Mikhail Budaragin,joe_malaba,2020-12-22T00:00:00Z,Russia,1984-02-08T00:00:00Z
Vyacheslav Veremy,Veryslav,2014-02-19T00:00:00Z,Ukraine,1980-02-22T00:00:00Z
Detsl,detslakaletruk,2019-02-03T00:00:00Z,Russia,1983-07-22T00:00:00Z
XXXTentacion,xxxtentacion,2018-06-18T00:00:00Z,United States of America,1998-01-23T00:00:00Z
Fritz Du Bois Freund,peru21pe,2014-05-25T00:00:00Z,Peru,1955-07-01T00:00:00Z
Pietro Larizza,LarizzaPsi,2021-03-01T00:00:00Z,Italy,1935-07-21T00:00:00Z
Lil Peep,lilpeep,2017-11-15T00:00:00Z,United States of America,1996-11-01T00:00:00Z
Braian Toledo,brainfinitoledo,2020-02-27T00:00:00Z,Argentina,1993-09-08T00:00:00Z
José Val del Omar,Val_del_Omar,1982-08-04T00:00:00Z,Spain,1904-10-27T00:00:00Z
Mitsuo Matayoshi,tw_matayoshi,2018-07-20T00:00:00Z,Japan,1944-02-05T00:00:00Z
Daisuke Narisawa,Abingdoni_Nari,2015-03-06T00:00:00Z,Japan,1965-01-01T00:00:00Z
Detsl,detslakaletruk,2019-02-03T00:00:00Z,Soviet Union,1983-07-22T00:00:00Z
Ernesto Cortázar II,ErnestoCortazar,2004-01-01T00:00:00Z,Mexico,1940-05-02T00:00:00Z
Jun Tae-soo,JunTaeSu,2018-01-21T00:00:00Z,South Korea,1984-03-02T00:00:00Z
Lil Peep,lilpeep,2017-11-15T00:00:00Z,Sweden,1996-11-01T00:00:00Z
Vittorio Zucconi,vittoriozucconi,2019-05-26T00:00:00Z,Italy,1944-08-16T00:00:00Z
Vittorio Zucconi,vittoriozucconi,2019-05-26T00:00:00Z,Kingdom of Italy,1944-08-16T00:00:00Z
Gabe Pressman,Gabe4ny,2017-06-23T00:00:00Z,United States of America,1924-02-14T00:00:00Z
Vittorio Zucconi,vittoriozucconi,2019-05-26T00:00:00Z,United States of America,1944-08-16T00:00:00Z
MickDeth,mickdeth,2013-06-02T00:00:00Z,United States of America,1978-03-09T00:00:00Z
Jari Lindholm,jarzuli,2016-10-19T00:00:00Z,Finland,1960-12-31T00:00:00Z
Ingrid Aune,ingridaune,2019-08-01T00:00:00Z,Norway,1985-10-19T00:00:00Z
Nikki Grahame,Nikki_Grahame1,2021-04-09T00:00:00Z,United Kingdom,1982-04-28T00:00:00Z
Michirō Endō,michiro60,2019-04-25T00:00:00Z,Japan,1950-11-15T00:00:00Z
Kenji Eno,kenjieno,2013-02-20T00:00:00Z,Japan,1970-05-05T00:00:00Z
Keith White,KeithWhiteSail,2019-01-17T00:00:00Z,United Kingdom,1948-01-01T00:00:00Z
Sushant Singh Rajput,itsSSR,2020-06-14T00:00:00Z,India,1986-01-21T00:00:00Z
Graham Wood,grahamwoodjazz,2017-07-19T00:00:00Z,Australia,1971-09-15T00:00:00Z
Lexii Alijai,lexiialijaii,2020-01-01T00:00:00Z,United States of America,1998-02-19T00:00:00Z
Edward Nixon,EdwardJNixon,2019-02-27T00:00:00Z,United States of America,1930-05-03T00:00:00Z
Tom Petty,tompetty,2017-10-02T00:00:00Z,United States of America,1950-10-20T00:00:00Z
Iain Shedden,sheddy12,2017-10-16T00:00:00Z,United Kingdom,1957-01-06T00:00:00Z
Benoît Van Reeth,benoitvanreeth,2021-02-28T00:00:00Z,France,1956-02-17T00:00:00Z
Colby Cave,cavemn10,2020-04-11T00:00:00Z,Canada,1994-12-26T00:00:00Z
Chris Kirubi,CKirubi,2021-06-14T00:00:00Z,Kenya,1941-01-01T00:00:00Z
Juan Carlos Aragón Becerra,capitanvenen0,2019-05-17T00:00:00Z,Spain,1967-05-26T00:00:00Z
Yoshitada Konoike,ykounoike,2018-12-25T00:00:00Z,Japan,1940-11-28T00:00:00Z
Yasushi Nirasawa,YasushiNirasawa,2016-02-02T00:00:00Z,Japan,1963-08-26T00:00:00Z
Étienne Fabre,etiennefabre,2016-12-10T00:00:00Z,France,1996-08-05T00:00:00Z
Pechi Quiroga,pechi_quiroga,2019-10-12T00:00:00Z,Argentina,1954-09-17T00:00:00Z
Rafael Moreno Valle,RafaMorenoValle,2018-12-24T00:00:00Z,Mexico,1968-06-30T00:00:00Z
Andriy Kuzmenko,kuzmaskryabin,2015-02-02T00:00:00Z,Soviet Union,1968-08-17T00:00:00Z
Alaa Alawadi,alaaawady123,2018-01-18T00:00:00Z,Iraq,1981-07-27T00:00:00Z
David Torrence,David_Torrence,2017-08-28T00:00:00Z,Peru,1985-11-26T00:00:00Z
Cristie Schoen,CristieSchoen,2015-03-12T00:00:00Z,Spain,1976-09-03T00:00:00Z
Prince,prince,2016-04-21T00:00:00Z,United States of America,1958-06-07T00:00:00Z
Hyuro,_hyuro,2020-11-19T00:00:00Z,Argentina,1974-01-01T00:00:00Z
David Torrence,David_Torrence,2017-08-28T00:00:00Z,United States of America,1985-11-26T00:00:00Z
John Magufuli,magufuliJP,2021-03-17T00:00:00Z,Tanzania,1959-10-29T00:00:00Z
Jonathan Cantwell,J_Cantwell,2018-11-06T00:00:00Z,Australia,1982-01-08T00:00:00Z
Ray Anderson,RayCAnderson,2011-08-08T00:00:00Z,United States of America,1934-07-28T00:00:00Z
Claire Wineland,clairewineland,2018-09-03T00:00:00Z,United States of America,1997-04-10T00:00:00Z
Riccardo Marasco,riccardomarasco,2015-12-18T00:00:00Z,Italy,1938-10-29T00:00:00Z
Riccardo Marasco,riccardomarasco,2015-12-18T00:00:00Z,Kingdom of Italy,1938-10-29T00:00:00Z
Edwin Jackson,edalwayzwin,2018-02-04T00:00:00Z,United States of America,1991-12-19T00:00:00Z
Carlos Holmes Trujillo,CarlosHolmesTru,2021-01-26T00:00:00Z,Colombia,1951-09-23T00:00:00Z
Fumio Karashima,karashimafumio,2017-02-24T00:00:00Z,Japan,1948-03-09T00:00:00Z
Yosuke Imai,ImaiYosukeArt,2015-11-23T00:00:00Z,Japan,1984-10-29T00:00:00Z
Vic Braden,VicBraden,2014-10-06T00:00:00Z,United States of America,1929-08-02T00:00:00Z
Olivier Ferrand,O_Ferrand,2012-06-30T00:00:00Z,France,1969-11-08T00:00:00Z
Sara Anzanello,anza1,2018-10-25T00:00:00Z,Italy,1980-07-30T00:00:00Z
Shih-Chieh Ilya Li,ilya,2019-05-18T00:00:00Z,Taiwan,1973-06-18T00:00:00Z
Binyavanga Wainaina,BinyavangaW,2019-05-21T00:00:00Z,Kenya,1971-01-18T00:00:00Z
Henry Mancini,henrymancini,1994-06-14T00:00:00Z,United States of America,1924-04-16T00:00:00Z
Emiliano Sala,emilianosala1,2019-01-21T00:00:00Z,Argentina,1990-10-31T00:00:00Z
Philippe Daverio,philippedaverio,2020-09-02T00:00:00Z,France,1949-10-17T00:00:00Z
Jenteal,jentealforreal,2020-10-30T00:00:00Z,United States of America,1976-06-26T00:00:00Z
Elijah Cummings,RepCummings,2019-10-17T00:00:00Z,United States of America,1951-01-18T00:00:00Z
Leon Spinks,leonneonspinks,2021-02-05T00:00:00Z,United States of America,1953-07-11T00:00:00Z
Colleen Conway-Welch,cconwaywelch,2018-10-12T00:00:00Z,United States of America,1944-04-26T00:00:00Z
Jeremy Hardy,JeremyJHardy,2019-02-01T00:00:00Z,United Kingdom,1961-07-17T00:00:00Z
Jean Navarro,jphnavarro,2019-11-21T00:00:00Z,France,1952-05-07T00:00:00Z
Allee Willis,AlleeWillis,2019-12-24T00:00:00Z,United States of America,1947-11-10T00:00:00Z
Mitch Petrus,Mitch_Petrus,2019-07-18T00:00:00Z,United States of America,1987-05-11T00:00:00Z
Randy Stair,EGSandrew,2017-06-08T00:00:00Z,United States of America,1992-09-17T00:00:00Z
Randy Stair,EGSworld,2017-06-08T00:00:00Z,United States of America,1992-09-17T00:00:00Z
Juan Gabriel,soyjuangabriel,2016-08-28T00:00:00Z,Mexico,1950-01-07T00:00:00Z
John Mayer,JohnMayer,2004-03-09T00:00:00Z,British India,1930-10-28T00:00:00Z
Ronnie Biggs,ronniebiggsnews,2013-12-18T00:00:00Z,United Kingdom,1929-08-08T00:00:00Z
Stephen Covey,stephenrcovey,2012-07-16T00:00:00Z,United States of America,1932-10-24T00:00:00Z
Amar Ben Belgacem,amartheartist,2010-08-24T00:00:00Z,France,1979-06-18T00:00:00Z
Randy Stair,PioneersProd,2017-06-08T00:00:00Z,United States of America,1992-09-17T00:00:00Z
Dev Anand,itsmedevanand,2011-12-03T00:00:00Z,India,1923-09-26T00:00:00Z
Chris Cornell,chriscornell,2017-05-17T00:00:00Z,United States of America,1964-07-20T00:00:00Z
Hide,official_hide,1998-05-02T00:00:00Z,Japan,1964-12-13T00:00:00Z
Chris Cornell,chriscornell,2017-05-18T00:00:00Z,United States of America,1964-07-20T00:00:00Z
Vivek,Actor_Vivek,2021-04-17T00:00:00Z,India,1961-11-19T00:00:00Z
Martin Short,ShortyMShorty,2020-08-27T00:00:00Z,United Kingdom,1943-09-22T00:00:00Z
Omar Khashram,KhashramOmar,2020-12-12T00:00:00Z,Jordan,1962-01-01T00:00:00Z
Martin Short,ShortyMShorty,2020-08-27T00:00:00Z,United Kingdom,1943-01-01T00:00:00Z
Justin Raimondo,JustinRaimondo,2019-06-27T00:00:00Z,United States of America,1951-11-18T00:00:00Z
Hank Aaron,henrylouisaaron,2021-01-22T00:00:00Z,United States of America,1934-02-05T00:00:00Z
Charlotte S.H. Jensen,charlotteshj,2019-07-26T00:00:00Z,Denmark,1961-01-01T00:00:00Z
Michel Diefenbacher,Mdiefenbacher,2017-10-10T00:00:00Z,France,1947-07-15T00:00:00Z
Muhammad Bilal Khan,BilalKhanWriter,2019-06-16T00:00:00Z,Pakistan,1997-01-01T00:00:00Z
José María Íñigo,josemariainigo,2018-05-05T00:00:00Z,Spain,1942-06-04T00:00:00Z
Hennadiy Kernes,GennadyKernes,2020-12-16T00:00:00Z,Ukraine,1959-06-27T00:00:00Z
Valentina Legkostupova,legkostupova,2020-08-14T00:00:00Z,Russia,1965-12-30T00:00:00Z
Ken Robinson,sirkenrobinson,2020-08-21T00:00:00Z,United Kingdom,1950-03-04T00:00:00Z
Denis Ten,Tenis_Den,2018-07-19T00:00:00Z,Kazakhstan,1993-06-13T00:00:00Z
Jacques Oortmerssen,JvOortmerssen,2015-11-21T00:00:00Z,Kingdom of the Netherlands,1950-06-28T00:00:00Z
Paul Bocuse,PaulBocuse,2018-01-20T00:00:00Z,France,1926-02-11T00:00:00Z
Jack Layton,jacklayton,2011-08-22T00:00:00Z,Canada,1950-07-18T00:00:00Z
Dan Wheldon,danwheldon,2011-10-16T00:00:00Z,United Kingdom,1978-06-22T00:00:00Z
Valentina Legkostupova,legkostupova,2020-08-14T00:00:00Z,Soviet Union,1965-12-30T00:00:00Z
Christoph Sydow,alsharq,2020-06-01T00:00:00Z,German Democratic Republic,1985-01-01T00:00:00Z
Noh Jin-kyu,njk0720,2016-04-03T00:00:00Z,South Korea,1992-07-20T00:00:00Z
Georg Karl,KGWellmann,2019-05-25T00:00:00Z,Germany,1936-04-09T00:00:00Z
Rasual Butler,RasualButler45,2018-01-31T00:00:00Z,United States of America,1979-05-23T00:00:00Z
Chuck Yeager,GenChuckYeager,2020-12-07T00:00:00Z,United States of America,1923-02-13T00:00:00Z
Rhodri Morgan,Rhodri_Morgan,2017-05-17T00:00:00Z,United Kingdom,1939-09-29T00:00:00Z
Patrick Devedjian,DevedjianP,2020-03-28T00:00:00Z,France,1944-08-26T00:00:00Z
R. Lee Ermey,RLeeErmey,2018-04-15T00:00:00Z,United States of America,1944-03-24T00:00:00Z
Ed Koch,mayoredkoch,2013-02-01T00:00:00Z,United States of America,1924-12-12T00:00:00Z
Franco Columbu,francocolumbu,2019-08-30T00:00:00Z,Italy,1941-08-07T00:00:00Z
Franco Columbu,francocolumbu,2019-08-30T00:00:00Z,United States of America,1941-08-07T00:00:00Z
Ian Paisley,ianpaisleymp,2014-09-12T00:00:00Z,United Kingdom,1926-04-06T00:00:00Z
Luis Gneiting,lgneiting,2018-07-25T00:00:00Z,Paraguay,1968-02-22T00:00:00Z
Maties Palau Ferré,palauferre,2000-01-01T00:00:00Z,Spain,1921-08-24T00:00:00Z
Amar Ben Belgacem,amartheartist,2010-08-24T00:00:00Z,Tunisia,1979-06-18T00:00:00Z
Jenni Rivera,jennirivera,2012-12-09T00:00:00Z,Mexico,1969-07-02T00:00:00Z
Sung Jae-gi,sungjaegi,2013-07-26T00:00:00Z,South Korea,1967-09-11T00:00:00Z
Mohammad Asghar,MohammadAsghar,2020-06-16T00:00:00Z,United Kingdom,1945-09-30T00:00:00Z
Abdul Rahman Yaghmour,AbdulrahmanYag,2021-02-09T00:00:00Z,Saudi Arabia,1936-09-01T00:00:00Z
Cameron Boyce,TheCameronBoyce,2019-07-06T00:00:00Z,United States of America,1999-05-28T00:00:00Z
Pete James,patinotyper,2018-03-11T00:00:00Z,United Kingdom,1958-01-01T00:00:00Z
Simon Andrews,SI_ANDREWS6,2014-05-19T00:00:00Z,United Kingdom,1984-08-14T00:00:00Z
Jenni Rivera,jennirivera,2012-12-09T00:00:00Z,United States of America,1969-07-02T00:00:00Z
Alexander McQueen,WorldMcQueen,2010-02-11T00:00:00Z,United Kingdom,1969-03-17T00:00:00Z
Finn Christian Jagge,FinkenJagge,2020-07-08T00:00:00Z,Norway,1966-04-04T00:00:00Z
Attila Özdemiroğlu,attilao,2016-04-20T00:00:00Z,Turkey,1943-01-05T00:00:00Z
Michael James Tyler,slate_michael,2020-03-26T00:00:00Z,Australia,1937-03-27T00:00:00Z
Enrique Laso,enriquelaso,2018-08-07T00:00:00Z,Spain,1972-07-22T00:00:00Z
Beth Carvalho,bethcarvalho,2019-04-30T00:00:00Z,Brazil,1946-05-05T00:00:00Z
Beth Carvalho,bethcarvalho,2019-04-30T00:00:00Z,Brazil,1946-05-04T00:00:00Z
Neil Peart,Praetorianx1,2020-01-07T00:00:00Z,United States of America,1952-09-12T00:00:00Z
Adam Sky,AdamSkyOfficial,2019-05-04T00:00:00Z,Australia,1977-01-01T00:00:00Z
Maurane,Maurane,2018-05-07T00:00:00Z,Belgium,1960-11-12T00:00:00Z
Frank Romero,iamfrankromero,2018-07-16T00:00:00Z,Spain,1972-05-22T00:00:00Z
Toshinori Kondo,kondotoshinori,2020-10-17T00:00:00Z,Japan,1948-12-15T00:00:00Z
Demetri Marchessini,DMarchessini,2016-03-06T00:00:00Z,Greece,1934-07-20T00:00:00Z
Geoffrey Oryema,GeoffreyOryema,2018-06-22T00:00:00Z,France,1953-04-16T00:00:00Z
Brandon Iron,BrandonIron,2019-04-15T00:00:00Z,Canada,1968-07-14T00:00:00Z
Constance Demby,constancedemby,2021-03-19T00:00:00Z,United States of America,1939-05-09T00:00:00Z
Otis Clay,otisclay,2016-01-08T00:00:00Z,United States of America,1942-02-11T00:00:00Z
Enrique Meneses,emenesesm,2013-01-01T00:00:00Z,Spain,1929-10-21T00:00:00Z
Yuya Uchida,UCHIDAYUYA,2019-03-17T00:00:00Z,Japan,1939-11-17T00:00:00Z
Enrique Meneses,emenesesm,2013-01-01T00:00:00Z,Spain,1929-01-01T00:00:00Z
Sylke Tempel,SylkeTempel,2017-10-05T00:00:00Z,Germany,1963-05-30T00:00:00Z
Sylke Tempel,SylkeTempel,2017-10-05T00:00:00Z,Germany,1963-03-30T00:00:00Z
